group	pathogen	note
bacteria	Abiotrophia defectiva	
bacteria	Achromobacter piechaudii	
bacteria	Achromobacter xylosoxidans	
bacteria	Acidaminococcus fermentans	
bacteria	Acinetobacter baumannii	
bacteria	Acinetobacter calcoaceticus	
bacteria	Acinetobacter haemolyticus	
bacteria	Acinetobacter johnsonii	
bacteria	Acinetobacter junii	
bacteria	Acinetobacter lwoffii	
bacteria	Acinetobacter radioresistens	
bacteria	Actinobacillus equuli	zoonotic
bacteria	Actinobacillus hominis	zoonotic
bacteria	Actinobacillus lignieresii	zoonotic
bacteria	Actinobacillus pleuropneumoniae	zoonotic
bacteria	Actinobacillus suis	zoonotic
bacteria	Actinobacillus ureae	zoonotic
bacteria	Actinomyces georgiae	
bacteria	Actinomyces gerencseriae	zoonotic
bacteria	Actinomyces israelii	zoonotic
bacteria	Actinomyces meyeri	
bacteria	Actinomyces naeslundii	zoonotic
bacteria	Actinomyces neuii	
bacteria	Actinomyces odontolyticus	zoonotic
bacteria	Actinomyces radingae	
bacteria	Actinomyces turicensis	
bacteria	Aerococcus viridans	
bacteria	Aeromonas caviae	zoonotic, emerging
bacteria	Aeromonas hydrophila	zoonotic, emerging
bacteria	Aeromonas sobria	zoonotic
bacteria	Aeromonas veronii	emerging
bacteria	Alcaligenes odorans	
bacteria	Amycolatopsis orientalis	
bacteria	Arcanobacterium bernardiae	
bacteria	Arcanobacterium heamolyticum	zoonotic
bacteria	Arcanobacterium pyogenes	zoonotic
bacteria	Arcobacter butzleri	zoonotic
bacteria	Arcobacter cryaerophilus	zoonotic
bacteria	Bacillus anthracis	zoonotic, emerging
bacteria	Bacillus cereus	zoonotic
bacteria	Bacillus circulans	
bacteria	Bacillus coagulans	zoonotic
bacteria	Bacillus licheniformis	zoonotic
bacteria	Bacillus mycoides	
bacteria	Bacillus pumilus	
bacteria	Bacillus sphaericus	
bacteria	Bacillus subtilis	zoonotic
bacteria	Bacillus thuringiensis	
bacteria	Bacteroides caccae	
bacteria	Bacteroides distasonis	
bacteria	Bacteroides eggerthii	
bacteria	Bacteroides forsythus	
bacteria	Bacteroides fragilis	zoonotic
bacteria	Bacteroides galacturonicus	
bacteria	Bacteroides merdae	
bacteria	Bacteroides ovatus	
bacteria	Bacteroides pectinophilus	
bacteria	Bacteroides splanchnicus	
bacteria	Bacteroides stercoris	
bacteria	Bacteroides thetaiotaomicron	
bacteria	Bacteroides uniformis	
bacteria	Bacteroides ureolyticus	
bacteria	Bacteroides vulgatus	
bacteria	Bartonella bacilliformis	
bacteria	Bartonella elizabethae	zoonotic
bacteria	Bartonella henselae	zoonotic
bacteria	Bartonella quintana	
bacteria	Bergeyella zoohelcum	zoonotic
bacteria	Bifidobacterium dentium	
bacteria	Bilophila wadsworthia	
bacteria	Bordetella avium	
bacteria	Bordetella bronchiseptica	zoonotic
bacteria	Bordetella parapertussis	zoonotic
bacteria	Bordetella pertussis	emerging
bacteria	Borrelia brasiliensis	zoonotic
bacteria	Borrelia burgdorferi	zoonotic, emerging
bacteria	Borrelia caucasica	zoonotic
bacteria	Borrelia crocidurae	zoonotic
bacteria	Borrelia duttonii	
bacteria	Borrelia hermsii	zoonotic
bacteria	Borrelia hispanica	zoonotic
bacteria	Borrelia latyschewii	zoonotic
bacteria	Borrelia mazzottii	zoonotic
bacteria	Borrelia parkeri	zoonotic
bacteria	Borrelia persica	zoonotic
bacteria	Borrelia recurrentis	
bacteria	Borrelia turicatae	zoonotic
bacteria	Borrelia venezuelensis	zoonotic
bacteria	Brevibacillus brevis	
bacteria	Brevundimonas diminuta	
bacteria	Brevundimonas vesicularis	
bacteria	Brucella melitensis	zoonotic, emerging
bacteria	Burkholderia cepacia	
bacteria	Burkholderia mallei	zoonotic
bacteria	Burkholderia pseudomallei	zoonotic
bacteria	Campylobacter coli	zoonotic
bacteria	Campylobacter concisus	
bacteria	Campylobacter curvus	
bacteria	Campylobacter fetus	zoonotic, emerging
bacteria	Campylobacter gracilis	
bacteria	Campylobacter hyointestinalis	zoonotic
bacteria	Campylobacter jejuni	zoonotic, emerging
bacteria	Campylobacter lari	zoonotic
bacteria	Campylobacter rectus	
bacteria	Campylobacter sputorum	
bacteria	Campylobacter upsaliensis	zoonotic
bacteria	Capnocytophaga canimorsus	zoonotic
bacteria	Capnocytophaga cynodegmi	zoonotic
bacteria	Capnocytophaga gingivalis	
bacteria	Capnocytophaga ochracea	
bacteria	Capnocytophaga sputigena	
bacteria	Cardiobacterium hominis	
bacteria	Cedecea davisae	
bacteria	Cedecea lapagei	
bacteria	Cedecea neteri	
bacteria	Cellulomonas cellulans	
bacteria	Cellulomonas turbata	
bacteria	Centipeda periodontii	
bacteria	Chlamydia trachomatis	zoonotic, emerging
bacteria	Chlamydophila pneumoniae	zoonotic
bacteria	Chlamydophila psittaci	zoonotic
bacteria	Chromobacterium violaceum	zoonotic
bacteria	Chryseobacterium balustinum	
bacteria	Chryseobacterium meningosepticum	
bacteria	Citrobacter amalonaticus	zoonotic
bacteria	Citrobacter braakii	zoonotic
bacteria	Citrobacter farmeri	zoonotic
bacteria	Citrobacter freundii	zoonotic
bacteria	Citrobacter koseri	zoonotic
bacteria	Citrobacter rodentium	zoonotic
bacteria	Citrobacter sedlakii	zoonotic
bacteria	Citrobacter werkmanii	zoonotic
bacteria	Citrobacter youngae	zoonotic
bacteria	Clostridium baratii	
bacteria	Clostridium bifermentans	
bacteria	Clostridium botulinum	zoonotic, emerging
bacteria	Clostridium butyricum	
bacteria	Clostridium chauvoei	zoonotic
bacteria	Clostridium difficile	zoonotic, emerging
bacteria	Clostridium fallax	zoonotic
bacteria	Clostridium histolyticum	zoonotic
bacteria	Clostridium novyi	zoonotic
bacteria	Clostridium perfringens	zoonotic
bacteria	Clostridium ramosum	zoonotic
